YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	D-J-F	M-A-M	J-J-A	S-O-N	metANN
1923	1.14	4.14	6.34	9.44	13.54	14.64	21.84	20.14	14.94	11.94	4.74	2.44	2.34	9.77	18.87	10.54	10.38
1924	0.64	-0.16	5.54	9.94	15.24	17.44	19.24	15.94	15.04	10.04	5.84	1.64	0.97	10.24	17.54	10.31	9.77
1925	2.54	4.34	3.94	9.44	13.74	18.34	18.74	18.14	13.44	10.84	4.04	2.44	2.84	9.04	18.41	9.44	9.93
1926	1.24	5.84	6.14	10.44	12.04	15.04	18.74	18.84	17.34	11.24	7.34	0.34	3.17	9.54	17.54	11.97	10.56
1927	1.94	1.94	6.54	10.44	15.14	17.44	19.24	17.64	14.94	9.54	5.44	2.03	1.41	10.71	18.11	9.97	10.05
1928	2.73	3.73	6.83	9.13	12.03	17.93	23.23	21.13	15.43	9.73	6.83	1.83	2.83	9.33	20.76	10.66	10.90
1929	-2.57	-3.57	5.03	7.93	14.33	18.53	20.43	18.73	17.73	10.93	5.43	4.93	-1.44	9.10	19.23	11.36	9.56
1930	2.93	2.33	6.73	10.13	12.53	19.83	18.43	18.83	16.33	10.13	7.83	3.03	3.40	9.80	19.03	11.43	10.91
1931	2.33	1.33	4.13	8.93	15.73	20.03	18.63	16.93	11.53	9.13	6.93	0.93	2.23	9.60	18.53	9.20	9.89
1932	1.53	-1.07	4.23	8.03	12.53	16.83	18.23	21.03	18.23	10.83	6.03	2.03	0.46	8.26	18.70	11.70	9.78
1933	-1.27	2.53	6.03	10.73	13.03	15.23	20.63	20.43	16.13	10.63	4.43	-1.87	1.10	9.93	18.76	10.40	10.05
1934	1.13	1.23	5.63	11.23	15.83	18.33	20.93	17.83	16.63	10.23	4.13	5.33	0.16	10.90	19.03	10.33	10.11
1935	-0.27	3.93	5.03	9.13	12.63	19.33	21.13	18.23	16.23	10.43	6.43	1.53	3.00	8.93	19.56	11.03	10.63
1936	5.33	2.83	7.03	8.73	14.63	17.23	18.13	18.43	15.63	7.33	5.93	2.63	3.23	10.13	17.93	9.63	10.23
